date,naive,perfect,perfect_nodis5,perfect_nochg5,perfect_nodis10,perfect_nochg10,perfect_nodis20,perfect_nochg20,naive_E10,perfect_E10,naive_E40,perfect_E40,naive_rte85,perfect_rte85,naive_rte92,perfect_rte92,n,mean_price,spread,realistic,realistic_nodis5,realistic_nochg5,realistic_nodis10,realistic_nochg10,realistic_nodis20,realistic_nochg20,realistic_E10,realistic_E40,realistic_rte85,realistic_rte92,persist
2025-01-01,2237.665288216983,2560.406775251654,2534.721299064245,2560.406775251653,2507.785822876835,2560.406775251653,2192.1262036221565,2560.406775251653,1112.5088105317764,1345.7506807533248,4418.9,4791.888082352449,2180.2957287323666,2494.152730015942,2312.251068783741,2647.7189522877,96,100.92875,142.31,,,,,,,,,,,,
2025-01-02,406.6569862575336,1052.270654707002,1035.3120446058806,1052.270654707003,1004.5196322387628,1052.270654707002,915.9257381151068,1052.2706547070024,174.27779328673182,528.5544239458482,594.5879999999989,1933.4075381101436,308.1990674302185,915.1025625645065,533.0016624012799,1228.5024393484991,96,134.0233333333333,61.28,,,,,,,,,,,,100.94496005595335
2025-01-03,486.8323499199712,1115.0784828936207,1100.796972139572,1115.0784828936207,1077.449853460826,1115.078482893621,929.5177867601092,1115.0784828936212,212.73091335340317,572.0659134405496,901.1159999999992,2062.005641419787,398.55251094716624,989.0425392593802,600.2274555678879,1277.0678764841311,96,122.33666666666666,62.790000000000006,,,,,,,,,,,,1099.0137445002033
2025-01-04,776.252690308242,1108.149810556596,1108.149810556596,1108.1498105565956,1088.9653290561982,1108.1498105565956,891.4882114046611,1108.149810556596,431.28244151145225,582.5701130388545,1056.7959999999991,1803.9018164441925,701.2562135881127,991.6467671490536,872.6180610967939,1257.8683472719872,96,111.57208333333334,62.73,,,,,,,,,,,,763.5342701184637
2025-01-05,370.458281095119,746.1984300299068,733.5563814445825,746.1984300299071,687.7877822255796,746.1984300299071,505.5089940801943,746.1984300299071,127.34503036061636,401.8296909499172,907.7999999999996,1260.9954592238798,338.23722377502384,696.9451574554977,412.0096191087331,809.5695676821224,96,51.44291666666666,73.77,,,,,,,,,,,,326.3058871417819
2025-01-06,1556.9242422680752,2514.856121930483,2435.948842516937,2514.856121930483,2272.066878555999,2514.856121930483,1870.113131916879,2514.856121930484,703.9172437103803,1265.4784360146884,3167.936,4755.211352749224,1514.2194909287482,2463.432692154232,1612.4823123558476,2581.8445698052187,96,45.42875,114.26,,,,,,,,,,,,2314.6493501940977
2025-01-07,724.06913799564,2075.74496710545,2075.74496710545,2075.74496710545,2050.6922912637538,2075.7449671054496,1862.0940401437167,2075.74496710545,412.83217468641647,1151.1898185472046,1005.2559999999996,3506.0789967895344,660.2386312053525,1989.0848857050964,806.1345720356112,2187.616112879022,96,83.43083333333334,109.67,,,,,,,,,,,,1645.0919874368653
2025-01-08,402.7076019800724,1566.8311976648436,1566.8311976648438,1566.8311976648438,1526.7907371924723,1566.8311976648438,1425.0238771553857,1566.8311976648436,193.26427717744525,838.3063056415513,594.7799999999992,2705.681310956143,329.3232915419645,1464.771443726601,496.9544184577613,1698.256276511178,96,98.91875,82.00999999999999,,,,,,,,,,,,1380.7902409023204
2025-01-09,801.1084747699226,2293.471073514153,2231.762676125861,2293.4710735141525,2219.010638422656,2293.471073514153,2032.1014856895492,2293.4710735141525,330.36920162685874,1237.37482622569,1383.8759999999988,4117.196559509482,726.0548219070548,2206.9681368635693,897.7220340723757,2405.217568796359,96,87.40291666666667,128.26000000000002,,,,,,,,,,,,1907.7653922099946
2025-01-10,326.82967805297795,1380.7006126013102,1380.70061260131,1380.7006126013105,1367.391491266069,1380.70061260131,1262.2644330149078,1380.7006126013102,181.61970755537916,706.3185248662237,286.7079999999995,2397.2879210720457,242.9886656713768,1265.5751400678391,434.3789258835813,1528.8109664814713,96,111.51666666666668,74.34,,,,,,,,,,,,1236.1747898892847
2025-01-11,713.1868431607038,1119.4184808191233,1109.955884736686,1119.4184808191235,1065.60342160782,1119.4184808191235,927.4944477249056,1119.4184808191235,324.999227007733,602.6210992900442,1447.7039999999993,1822.66223285573,650.3440009287647,1021.239157856124,794.1091338658839,1245.6373082211976,96,95.87583333333332,63.25,,,,,,,,,,,,659.2972042484951
2025-01-12,2278.599564715246,2290.599564715246,2278.95227441958,2290.599564715246,2174.8595260518982,2290.599564715246,1933.5796747527163,2290.5995647152463,1151.1661106126344,1163.1661106126344,4221.295999999999,4463.561882902013,2237.287504256469,2249.287504256469,2332.5353618150184,2344.5353618150184,96,73.72416666666666,124.4,,,,,,,,,,,,1759.59777382622
2025-01-13,667.7311370354978,1443.9025796787348,1443.9025796787348,1443.9025796787348,1401.4781417068125,1443.9025796787348,1250.3138922509183,1443.9025796787353,367.0916936064116,827.8977253090097,963.4519999999984,2215.955055585184,581.3807932306888,1309.3772648595375,778.6223889182246,1616.7836160237848,96,125.81124999999996,80.0,,,,,,,,,,,,577.1434307412984
2025-01-14,954.880744995054,1712.404404072333,1712.404404072333,1712.404404072333,1618.9284251647782,1712.4044040723331,1242.2994766627382,1712.4044040723331,580.6630078950261,864.6089339388666,1308.635999999999,2650.433487129761,858.7554181908966,1558.707324806703,1078.3677170638707,1910.1262551985585,96,137.83291666666665,77.91,,,,,,,,,,,,1707.0314437628897
2025-01-15,631.9196081338481,1664.8801381947524,1652.9920961386988,1664.880138194752,1593.7966415932435,1664.8801381947528,1367.1548305721933,1664.8801381947528,338.09903297486267,1074.817299392193,890.9039999999991,2528.0679542829685,534.3671955357585,1517.1248931880032,757.2521803472134,1854.6715071439896,96,140.67833333333334,109.42,,,,,,,,,,,,1527.3950125341305
2025-01-16,681.0683729527786,1769.8200552593275,1769.8200552593275,1769.8200552593275,1691.6976405240644,1769.820055259327,1299.6751616801612,1769.8200552593275,448.7339325482924,975.0455558225708,873.5039999999992,2490.8510553760334,586.641299443882,1618.7483831423183,802.3238810296816,1964.0529935263096,96,135.08916666666667,91.36,,,,,,,,,,,,1402.3722632485558
2025-01-17,748.1665813476195,1614.8775903788926,1614.877590378893,1614.8775903788926,1527.310081398583,1614.8775903788928,1156.506945034947,1614.8775903788933,410.7145811236894,879.194546370626,1129.8439999999991,2320.3624102134204,657.5071547335508,1465.2425910298227,864.6605136774001,1807.1397480734088,96,135.61875,93.5,,,,,,,,,,,,1430.3591201416857
2025-01-18,614.2582550625307,872.1775650331565,872.1775650331563,872.1775650331556,794.3405720747076,872.1775650331562,491.2565570958814,872.177565033156,359.516281256723,457.0828651287946,938.6999999999992,1409.6867050483568,521.315524429533,729.7806217649821,733.5918043887048,1055.0277399126087,96,133.16208333333333,57.64999999999999,,,,,,,,,,,,805.340319806292
2025-01-19,680.1615430101293,785.8050675092932,785.8050675092935,785.8050675092935,720.6154470383335,785.8050675092935,380.6685749350552,785.8050675092937,376.5164585373077,406.447487825817,1095.1359999999995,1406.7338571123205,591.9524679054844,696.6381433996213,793.4713350425723,900.4142294632915,96,125.11333333333334,57.33000000000001,,,,,,,,,,,,612.6802655168667
2025-01-20,-262.1929049212779,699.0710824184025,610.3614703969972,699.071082418403,478.2850708322821,699.071082418403,457.58507083228193,699.071082418403,-159.3462154041831,374.440223177205,-455.284000000001,1173.7964536721806,-373.4259023915858,602.350508980806,-119.72313125637017,823.3064538397077,96,144.92,55.59,,,,,,,,,,,,-343.9424308083665
2025-01-21,12.04556605771677,612.0087571357037,576.181781076365,612.0087571357036,524.6035576720224,612.0087571357041,471.96946676293135,612.0087571357041,2.190725489089118,339.8445590795386,-136.50000000000023,857.31738631989,-89.84976012089425,460.6816416524344,142.68306175157937,802.6788516837495,96,140.60458333333335,48.92,,,,,,,,,,,,381.32078413582406
2025-01-22,277.3064377828497,935.5544404594232,935.5544404594232,935.5544404594232,867.5820438073431,935.5544404594232,712.6136162052588,935.5544404594232,163.3361086025559,509.1869583110067,359.49999999999886,1621.665300976582,179.67895083163972,795.8585437928933,402.5213277395594,1114.9402471542649,96,134.95541666666665,64.12,,,,,,,,,,,,897.6201325036174
2025-01-23,843.3990361140764,1405.5993605485992,1204.7820436879877,1405.5993605485987,1020.0238106833414,1405.5993605485987,732.2829694978575,1405.5993605485992,403.6567211214608,745.1402433074165,1191.919999999999,2137.111822254683,737.5764400668452,1252.0410632427684,979.435941071959,1602.9261555231387,96,140.5525,83.53999999999999,,,,,,,,,,,,1202.9339433982018
2025-01-24,435.7512310870108,825.3000235081369,820.140566172331,825.300023508137,776.7703341278274,825.3000235081372,663.2786009951114,825.300023508137,201.9206797667605,446.6224719180123,692.7559999999993,1371.947421642679,371.478601600518,726.5879091192013,518.3473128596011,952.1261228389336,96,91.74625,46.93000000000001,,,,,,,,,,,,793.3864849828989
2025-01-25,1192.8198834036975,1874.9050181059097,1788.3775344290875,1874.9050181059097,1724.8583176195502,1874.9050181059097,1324.9829688256468,1874.9050181059097,490.6463623194102,1002.4562336341894,2504.7999999999997,3321.347134494175,1157.653077845021,1827.687280645284,1238.5823666281474,1936.1244334902933,96,42.51958333333334,92.77,,,,,,,,,,,,1059.028837574145
2025-01-26,606.0032575822408,640.3182086884885,640.3182086884885,640.3182086884885,588.8984842614678,640.3182086884885,370.8025935305178,640.3182086884885,312.67564531208563,342.40765247564184,1030.4199999999998,1137.0280279380918,590.7964229884797,624.9271040630658,625.7491417764841,672.9807711425669,96,26.422500000000003,37.45,,,,,,,,,,,,599.0843562849899
2025-01-27,698.8997604190931,1279.2244091761722,1279.224409176172,1279.224409176172,1217.6861133113773,1279.224409176172,1094.322412568878,1279.2244091761722,352.5102238289188,697.8304482820834,1211.4999999999995,2290.7173154283464,684.3637717918418,1256.272718181008,717.8328481534139,1309.1191023856843,96,21.79083333333333,52.72,,,,,,,,,,,,799.3111099931295
2025-01-28,1206.8417357945082,1486.403307122966,1410.3520719418966,1486.403307122966,1255.127633969974,1486.4033071229662,808.537252072789,1486.4033071229665,645.0387673338994,784.8195529981282,1927.244,2639.620759810185,1187.2448551169336,1461.7595029635524,1232.446128681343,1518.598799668429,96,16.44666666666667,68.85,,,,,,,,,,,,1171.2740513564336
2025-01-29,1999.3643366132355,3222.720936135924,3052.014342038189,3222.720936135925,2689.67998020889,3222.7209361359246,2091.054012151245,3222.720936135925,857.390334421475,1654.8788844023932,3641.1839999999993,5811.534503116834,1952.745238650686,3162.797115871015,2060.12939340695,3300.8891284388114,96,48.7875,130.32999999999998,,,,,,,,,,,,3119.495294082409
2025-01-30,1914.329586479484,2855.025528917544,2654.559488333912,2855.025528917544,2490.035211428503,2855.025528917544,2102.6001951785283,2855.025528917544,858.8404167326532,1453.7451242558232,3633.903999999999,5126.399002884189,1877.5561362627784,2804.177573161533,1962.3991746306,2921.4208012076306,96,42.3975,114.0,,,,,,,,,,,,2623.764558725723
2025-01-31,2272.689316184635,3273.27005913266,3273.2700591326607,3273.2700591326607,3145.486365687853,3273.270059132661,2357.7025858817306,3273.2700591326607,1208.1932229760014,1689.8862899951846,3964.803999999999,5694.170832023559,2205.6734173537625,3161.473552432752,2359.553607505596,3417.8938238627643,96,96.33416666666666,145.48,,,,,,,,,,,,2587.176389407233
